,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,brand_name
74,2013,450000,120000,Diesel,Individual,Manual,Second Owner,22.9,1248,74.0,5.0,Maruti
75,2012,450000,120000,Petrol,Individual,Manual,Second Owner,16.02,1373,93.7,7.0,Maruti
76,2013,450000,170000,Diesel,Individual,Manual,First Owner,20.54,1598,103.6,5.0,Volkswagen
77,2016,1200000,140000,Diesel,Individual,Manual,First Owner,12.99,2494,100.6,8.0,Toyota
78,2015,610000,90000,Diesel,Individual,Manual,First Owner,22.77,1498,98.59,5.0,Ford
79,2016,2500000,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998,189.0,5.0,BMW
80,2017,484999,10000,Petrol,Dealer,Manual,First Owner,23.1,998,67.04,5.0,Maruti
81,2016,275000,49000,Petrol,Dealer,Manual,First Owner,19.02,1198,67.05,5.0,Datsun
82,2016,315000,32000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5.0,Maruti
83,2016,275000,38000,Petrol,Dealer,Manual,First Owner,24.7,796,47.3,5.0,Maruti
84,2012,290000,28000,Petrol,Dealer,Manual,First Owner,19.81,1086,68.05,5.0,Hyundai
85,2017,280000,32000,Petrol,Dealer,Manual,First Owner,14.0,796,35.0,5.0,Maruti
86,2010,225000,44000,LPG,Dealer,Manual,First Owner,26.2,998,58.2,5.0,Maruti
87,2015,455000,42000,Petrol,Dealer,Manual,First Owner,16.47,1198,74.0,5.0,Volkswagen
88,2015,351000,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086,68.05,5.0,Hyundai
89,2012,535000,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598,103.6,5.0,Volkswagen
90,2009,175000,55500,Petrol,Dealer,Manual,First Owner,18.2,998,67.1,5.0,Maruti
91,2013,525000,61500,Petrol,Dealer,Manual,First Owner,18.5,1197,82.85,5.0,Hyundai
92,2016,600000,150000,Diesel,Individual,Manual,First Owner,26.59,1248,74.0,5.0,Maruti
93,2016,565000,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197,82.0,5.0,Hyundai
94,2008,120000,68000,Petrol,Dealer,Manual,Third Owner,19.7,796,46.3,5.0,Maruti
95,2017,725000,110000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5.0,Hyundai
96,2009,185000,77000,Petrol,Dealer,Manual,Second Owner,21.79,998,67.05,5.0,Maruti
97,2010,200000,100000,Diesel,Individual,Manual,Second Owner,18.8,1248,90.0,5.0,Tata
98,2019,615000,10000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5.0,Maruti
99,2016,270000,100000,Petrol,Individual,Manual,Third Owner,15.37,1196,73.0,7.0,Maruti
100,2018,610000,35000,Petrol,Individual,Manual,First Owner,21.4,1197,83.1,5.0,Maruti
101,2014,625000,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179,120.0,8.0,Mahindra
102,2020,400000,5000,Petrol,Individual,Manual,Second Owner,19.0,1194,94.68,5.0,Ford
103,2017,866000,37800,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,5.0,Hyundai
104,2010,700000,114000,Petrol,Individual,Manual,First Owner,14.3,1798,160.0,5.0,Volkswagen
105,2010,300000,48000,Petrol,Individual,Manual,First Owner,15.8,1172,65.0,5.0,Tata
106,2019,1700000,32000,Diesel,Individual,Manual,First Owner,15.1,2179,155.0,7.0,Mahindra
107,2016,375000,100000,Diesel,Individual,Manual,First Owner,19.09,1405,69.01,5.0,Tata
108,2013,522000,150000,Diesel,Individual,Manual,Second Owner,22.32,1582,126.32,5.0,Hyundai
109,2013,451999,69000,Diesel,Individual,Manual,First Owner,21.9,1396,88.76,5.0,Hyundai
110,2009,300000,100000,Petrol,Individual,Manual,Second Owner,14.53,1798,138.1,5.0,Toyota
111,2020,475000,13000,Petrol,Individual,Manual,First Owner,21.63,998,67.04,5.0,Maruti
112,2016,780000,60000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5.0,Maruti
113,2017,595000,40000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5.0,Maruti
114,2017,440000,35000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5.0,Maruti
115,2014,400000,70000,Diesel,Individual,Manual,Third Owner,20.45,1461,83.8,5.0,Nissan
116,2016,1140000,50000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5.0,Hyundai
117,2017,850000,76139,Diesel,Individual,Manual,First Owner,23.0,1498,98.96,5.0,Ford
118,2012,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248,73.9,5.0,Maruti
119,2018,350000,25000,Petrol,Individual,Manual,First Owner,23.01,999,67.0,5.0,Renault
120,2015,360000,40000,Petrol,Individual,Manual,Second Owner,23.1,998,67.04,5.0,Maruti
121,2008,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3,5.0,Maruti
122,2013,625000,90000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7.0,Maruti
123,2009,135000,80000,Petrol,Individual,Manual,Second Owner,17.92,1086,62.1,5.0,Hyundai
124,2015,700000,110000,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76,7.0,Maruti
125,2019,690000,1303,Petrol,Dealer,Manual,First Owner,17.8,1198,86.7,5.0,Honda
126,2018,3975000,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968,188.0,5.0,Audi
127,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487,214.56,5.0,Lexus
128,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999,177.0,5.0,Jaguar
129,2017,4100000,17000,Petrol,Individual,Automatic,First Owner,9.5,3604,280.0,5.0,Jeep
130,2019,4500000,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999,148.31,7.0,Land
131,2017,6000000,37000,Diesel,Dealer,Automatic,First Owner,13.5,2987,254.79,5.0,Mercedes-Benz
132,2018,3790000,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995,187.74,5.0,BMW
133,2019,5800000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995,190.0,5.0,BMW
134,2018,1864999,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798,177.46,5.0,Skoda
135,2016,2700000,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143,204.0,5.0,Mercedes-Benz
136,2019,1750000,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451,141.0,5.0,MG
137,2017,795000,41000,Petrol,Dealer,Automatic,First Owner,18.0,1497,117.6,5.0,Honda
138,2013,625000,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798,138.03,5.0,Toyota
139,2018,3400000,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969,190.0,5.0,Volvo
140,2015,2650000,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967,241.4,7.0,Audi
141,2015,535000,40000,Diesel,Dealer,Manual,First Owner,26.21,1248,88.5,5.0,Maruti
142,2017,5850000,47000,Diesel,Dealer,Automatic,First Owner,13.5,2987,282.0,5.0,Mercedes-Benz
143,2010,975000,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497,150.0,5.0,BMW
144,2016,805000,49900,Petrol,Dealer,Manual,First Owner,16.3,1797,147.5,5.0,Hyundai
145,2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999,177.0,5.0,Jaguar
146,2018,811000,11000,Petrol,Dealer,Manual,First Owner,17.0,1198,108.5,5.0,Tata
147,2011,375000,49000,Petrol,Individual,Manual,First Owner,15.04,1598,103.6,5.0,Volkswagen
148,2012,550000,95000,Petrol,Individual,Manual,First Owner,16.3,1797,147.5,5.0,Hyundai
149,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5,5.0,Skoda
150,2018,2550000,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991,183.0,5.0,Mercedes-Benz
151,2014,599000,46100,Petrol,Dealer,Manual,First Owner,16.02,1373,93.7,7.0,Maruti
152,2017,2700000,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991,181.04,5.0,Mercedes-Benz
153,2017,875000,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497,116.3,5.0,Honda
154,2019,894999,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197,81.8,5.0,Toyota
155,2011,175000,11000,Petrol,Dealer,Manual,First Owner,23.95,998,67.05,5.0,Maruti
156,2012,340000,24300,Petrol,Dealer,Manual,First Owner,21.21,1197,81.8,5.0,Maruti
157,2016,1525000,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755,171.5,7.0,Toyota
158,2018,1025000,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497,108.5,5.0,Tata
159,2016,2150000,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995,190.0,5.0,BMW
160,2016,1900000,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494,157.7,5.0,Toyota
161,2016,2900000,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995,190.0,5.0,BMW
162,2009,450000,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362,164.7,5.0,Toyota
163,2016,850000,20000,Petrol,Individual,Manual,First Owner,17.5,1373,91.1,7.0,Maruti
164,2017,10000000,30000,Petrol,Individual,Automatic,First Owner,42.0,1969,400.0,4.0,Volvo
165,2011,300000,100000,Diesel,Individual,Manual,Second Owner,20.54,1598,103.6,5.0,Volkswagen
166,2018,575000,9500,Petrol,Individual,Manual,First Owner,18.16,1196,86.8,5.0,Ford
167,2011,160000,120000,Diesel,Individual,Manual,First Owner,20.0,1399,68.0,5.0,Ford
168,2015,515000,36600,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5.0,Maruti
169,2015,390000,50000,Petrol,Individual,Automatic,Second Owner,20.51,998,67.0,5.0,Maruti
170,2016,550000,14000,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83,5.0,Hyundai
171,1999,40000,40000,Petrol,Individual,Manual,Second Owner,16.1,796,37.0,4.0,Maruti
172,2010,220000,120000,Diesel,Individual,Manual,First Owner,21.1,1248,73.9,5.0,Maruti
173,2015,425000,70000,Petrol,Individual,Manual,First Owner,18.9,1197,82.0,5.0,Hyundai
174,2019,480000,13000,Petrol,Individual,Manual,First Owner,19.44,999,75.0,5.0,Volkswagen
175,2014,400000,60000,Petrol,Individual,Manual,Second Owner,18.9,1197,82.0,5.0,Hyundai
176,2014,487000,35000,Petrol,Individual,Manual,First Owner,19.1,1197,85.8,5.0,Maruti
177,2016,386000,44000,Petrol,Individual,Manual,Second Owner,19.1,1197,82.0,5.0,Hyundai
178,2005,100000,120000,Petrol,Individual,Manual,Second Owner,13.0,1493,100.0,5.0,Honda
179,2010,300000,60000,Diesel,Individual,Manual,First Owner,21.43,1364,87.2,5.0,Toyota
180,2000,100000,60000,Petrol,Individual,Manual,First Owner,18.5,796,53.0,5.0,Daewoo
181,2014,1750000,30000,Diesel,Individual,Manual,Second Owner,13.0,2982,168.5,7.0,Toyota
182,2016,450000,15000,Petrol,Individual,Manual,Second Owner,18.15,1198,82.0,6.0,Mahindra
183,2017,490000,90000,Diesel,Individual,Manual,First Owner,22.95,1248,74.0,5.0,Tata
184,2009,345000,47000,Petrol,Individual,Manual,Second Owner,17.0,1497,118.0,5.0,Honda
185,2005,85000,90000,Petrol,Individual,Manual,First Owner,17.3,993,60.0,5.0,Maruti
186,2010,215000,120600,Petrol,Individual,Manual,Second Owner,18.9,998,67.1,5.0,Maruti
187,2010,320000,100000,Petrol,Individual,Manual,Third Owner,16.2,1599,103.2,5.0,Hyundai
188,2016,459999,60000,Petrol,Individual,Manual,Second Owner,20.85,1197,83.14,5.0,Maruti
189,2005,65000,86000,Petrol,Individual,Manual,First Owner,15.3,1341,83.0,5.0,Hyundai
190,2020,720000,5000,Petrol,Individual,Manual,First Owner,18.6,1197,81.86,5.0,Hyundai
191,2017,800000,37000,Diesel,Individual,Manual,First Owner,28.09,1248,88.5,5.0,Maruti
192,2019,520000,14000,Petrol,Individual,Manual,First Owner,20.3,1199,84.0,5.0,Tata
193,2015,580000,70000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7.0,Maruti
194,2015,600000,50000,Petrol,Individual,Manual,First Owner,17.4,1497,117.3,5.0,Honda
195,2014,290000,60000,Petrol,Individual,Manual,Second Owner,19.4,1198,86.8,5.0,Honda
196,2016,360000,50000,CNG,Individual,Manual,First Owner,26.6,998,58.16,5.0,Maruti
197,2017,550000,50000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5.0,Maruti
198,2013,375000,70000,Petrol,Individual,Manual,First Owner,18.5,1197,82.85,5.0,Hyundai
199,2018,420000,35000,Petrol,Individual,Automatic,First Owner,20.51,998,67.0,5.0,Maruti
200,2017,550000,20000,Petrol,Individual,Manual,First Owner,21.21,1197,81.8,5.0,Maruti
201,2018,270000,20000,Petrol,Individual,Manual,First Owner,24.7,796,47.3,5.0,Maruti
202,2018,700000,7800,Petrol,Individual,Automatic,First Owner,22.0,1197,81.8,5.0,Maruti
203,2017,500000,20000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5.0,Maruti
204,2019,1250000,15000,Diesel,Individual,Manual,First Owner,17.6,2179,147.94,7.0,Tata
205,2013,320000,31377,Petrol,Individual,Manual,Second Owner,18.5,1197,82.85,5.0,Hyundai
206,2018,700000,50000,Diesel,Individual,Manual,First Owner,28.4,1248,74.02,5.0,Maruti
207,2015,290000,60000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5.0,Maruti
208,2012,550000,100000,Petrol,Individual,Automatic,First Owner,14.53,1794,138.1,5.0,Toyota
209,2012,265000,60000,Petrol,Individual,Manual,First Owner,19.4,1198,86.8,5.0,Honda
210,2018,830000,5000,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1,5.0,Maruti
211,2017,800000,60000,Diesel,Individual,Manual,First Owner,14.1,2179,147.94,7.0,Tata
212,2011,160000,25000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5.0,Maruti
213,2018,335000,30000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5.0,Renault
214,2017,329000,80000,Petrol,Individual,Manual,Second Owner,20.63,1198,67.0,5.0,Datsun
215,2017,775000,75000,Diesel,Individual,Manual,First Owner,24.3,1248,88.5,5.0,Maruti
216,2020,524000,32000,Petrol,Individual,Manual,First Owner,20.14,1197,81.86,5.0,Hyundai
217,2015,245000,40000,Petrol,Individual,Manual,First Owner,22.74,796,47.3,5.0,Maruti
218,2012,275000,93000,Petrol,Individual,Manual,Second Owner,17.0,1197,80.0,5.0,Hyundai
219,2018,520000,60000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,5.0,Tata
220,2014,550000,37000,Petrol,Individual,Manual,First Owner,16.95,1498,97.7,5.0,Nissan
221,2018,910000,15000,Petrol,Individual,Manual,First Owner,17.0,1497,121.36,5.0,Ford
222,2015,300000,80000,Petrol,Individual,Manual,First Owner,19.49,1198,67.04,5.0,Nissan
223,2016,350000,140000,Petrol,Individual,Manual,First Owner,20.51,998,67.04,5.0,Maruti
224,2013,900000,70000,Diesel,Individual,Manual,First Owner,12.83,2696,162.0,7.0,Mahindra
225,2013,300000,120000,Diesel,Individual,Manual,Second Owner,17.21,1493,100.0,7.0,Mahindra
226,2010,250000,110000,Diesel,Individual,Manual,Second Owner,21.1,1248,73.9,5.0,Maruti
227,2017,1100000,37000,Diesel,Individual,Manual,First Owner,19.67,1582,126.2,5.0,Hyundai
228,2016,270000,44000,Petrol,Individual,Manual,First Owner,25.17,799,53.3,5.0,Renault
229,2015,640000,80000,Diesel,Individual,Manual,First Owner,20.77,1248,88.76,7.0,Maruti
230,2015,650000,125000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7.0,Mahindra
231,2017,409999,13500,Petrol,Individual,Manual,First Owner,15.37,1196,73.0,5.0,Maruti
232,2011,165000,75000,Petrol,Individual,Manual,First Owner,17.92,1086,62.1,5.0,Hyundai
233,2007,80000,120000,Petrol,Individual,Manual,Second Owner,13.2,1495,94.0,5.0,Hyundai
234,2012,535000,120000,Diesel,Individual,Manual,First Owner,15.1,2179,140.0,7.0,Mahindra
235,2013,700000,70000,Diesel,Individual,Manual,First Owner,12.99,2494,100.57,7.0,Toyota
236,2013,550000,70000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5.0,Maruti
237,2019,680000,15000,Petrol,Individual,Automatic,First Owner,19.0,1199,88.76,5.0,Honda
238,2009,200000,53000,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9,5.0,Hyundai
239,2014,500000,120000,Diesel,Individual,Manual,Second Owner,23.4,1248,74.0,5.0,Maruti
240,2016,1000000,70000,Diesel,Individual,Manual,First Owner,24.52,1248,88.5,7.0,Maruti
241,2008,110000,120000,Petrol,Individual,Manual,Second Owner,14.2,1341,82.9,5.0,Hyundai
242,2012,320000,100000,Petrol,Individual,Manual,Second Owner,18.5,1197,80.0,5.0,Hyundai
243,2015,350000,100000,Petrol,Individual,Manual,First Owner,20.4,1197,83.11,5.0,Maruti
244,2013,170000,162500,Diesel,Individual,Manual,First Owner,19.4,1405,70.0,5.0,Tata
245,2017,800000,39000,Diesel,Individual,Manual,First Owner,22.54,1396,88.73,5.0,Hyundai
246,2017,500000,75000,Diesel,Individual,Manual,First Owner,26.8,1248,74.0,5.0,Maruti
247,2017,1380000,50000,Diesel,Individual,Automatic,First Owner,17.6,2179,153.86,7.0,Tata
248,2019,1300000,40000,Diesel,Individual,Manual,First Owner,17.3,1497,121.0,8.0,Mahindra
249,2013,530000,92500,Diesel,Individual,Manual,First Owner,22.32,1582,126.3,5.0,Hyundai
250,2012,360000,158000,Diesel,Individual,Manual,First Owner,23.4,1248,74.0,5.0,Maruti
251,2012,310000,120000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5.0,Maruti
252,2015,725000,50000,Diesel,Individual,Manual,Second Owner,26.0,1498,98.6,5.0,Honda
253,2012,340000,110000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5.0,Maruti
254,2017,550000,2000,Diesel,Individual,Manual,Second Owner,25.4,1186,73.97,5.0,Hyundai
255,2011,1150000,181000,Diesel,Individual,Manual,Second Owner,11.5,2982,171.0,7.0,Toyota
256,2016,380000,70000,Diesel,Individual,Manual,First Owner,27.28,1047,69.0,5.0,Tata
257,2013,350000,90000,Petrol,Individual,Automatic,Second Owner,17.97,1498,99.6,5.0,Nissan
258,2019,610000,2000,Petrol,Individual,Manual,First Owner,18.6,1197,81.86,5.0,Hyundai
259,2015,525000,20000,Petrol,Individual,Manual,First Owner,20.85,1197,83.14,5.0,Maruti
260,2011,480000,120000,Diesel,Individual,Manual,First Owner,12.8,2494,102.0,7.0,Toyota
261,2017,780000,35000,Diesel,Individual,Manual,First Owner,16.55,2498,105.0,6.0,Mahindra
262,2012,320000,193000,Diesel,Individual,Manual,First Owner,19.3,1248,73.9,5.0,Maruti
263,2014,375000,80000,Petrol,Individual,Manual,First Owner,20.4,1197,81.8,5.0,Maruti
264,2019,300000,40000,Petrol,Individual,Manual,First Owner,19.02,1198,67.05,5.0,Datsun
265,2015,500000,70000,Diesel,Individual,Manual,Fourth & Above Owner,22.54,1396,88.73,5.0,Hyundai
266,2011,404000,122358,Diesel,Individual,Manual,First Owner,12.05,2179,120.0,9.0,Mahindra
267,2015,500000,75000,Diesel,Individual,Manual,First Owner,14.07,2956,69.01,7.0,Tata
268,2017,350000,120000,Diesel,Individual,Manual,First Owner,27.28,1047,69.0,5.0,Tata
269,2015,380000,40000,Petrol,Individual,Manual,First Owner,17.57,1193,88.7,5.0,Tata
270,2008,114999,95200,Petrol,Individual,Manual,Third Owner,13.2,1495,94.0,5.0,Hyundai
271,2014,335000,33033,Petrol,Dealer,Manual,First Owner,19.4,1198,86.8,5.0,Honda
272,2015,465000,63063,Petrol,Dealer,Automatic,First Owner,18.9,1197,82.0,5.0,Hyundai
273,2012,290000,60000,Diesel,Individual,Manual,First Owner,21.02,1248,88.76,5.0,Tata
274,2005,110000,45000,Petrol,Individual,Manual,Second Owner,19.7,796,46.3,5.0,Maruti
275,2011,450000,80000,Diesel,Individual,Manual,Third Owner,11.57,2179,138.1,7.0,Tata
276,2009,400000,170000,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,7.0,Mahindra
277,2007,210000,207890,Diesel,Individual,Manual,Second Owner,13.6,2523,63.0,7.0,Mahindra
